,,36,48,55,70,87,107,130,143,156
613,C,,,,,,,"34,300","38,300","42,600"
,P,,,,,,,"5,230","5,160","5,090"
,A,,,,,,,23.3,23.1,22.7
,M,,,,,,,594,658,727
,E,,,,,,,6.6,7.4,8.4
,%,,,,,,,62.0,65.3,68.5
,,,,,,,,,,
541,C,,,,,,"30,600","38,300","42,600","47,200"
,P,,,,,,"4,650","4,540","4,480","4,410"
,A,,,,,,20.7,20.3,20.0,19.7
,M,,,,,,492,608,671,738
,E,,,,,,6.6,8.5,9.5,10.7
,%,,,,,,60.3,66.8,69.8,72.5
,,,,,,,,,,
477,C,,,,,"26,700","33,900","42,100","46,600","51,500"
,P,,,,,"4,110","4,040","3,940","3,890","3,830"
,A,,,,,18.3,18.0,17.6,17.4,17.1
,M,,,,,404,505,619,682,749
,E,,,,,6.5,8.4,10.7,12.0,13.5
,%,,,,,58.4,65.3,71.0,73.5,75.6
,,,,,,,,,,
447,C,,,,"21,700","28,100","35,500","43,900","48,500","53,500"
,P,,,,"3,880","3,840","3,770","3,670","3,620","3,560"
,A,,,,17.2,17.1,16.8,16.4,16.2,15.9
,M,,,,321,411,511,624,687,753
,E,,,,5.6,7.4,9.4,12.0,13.4,15.0
,%,,,,53.5,61.0,67.5,72.8,75.0,76.8
,,,,,,,,,,
391,C,,,"18,150","24,100","30,800","38,500","47,300","52,200","57,500"
,P,,,"3,400","3,380","3,340","3,270","3,190","3,140","3,090"
,A,,,15.1,15.1,14.9,14.6,14.2,14.0,13.8
,M,,,256,335,422,521,633,695,761
,E,,,5.4,7.1,9.2,11.8,14.9,16.7,18.6
,%,,,50.8,58.8,65.6,71.2,75.4,76.8,77.6
,,,,,,,,,,
341,C,,"17,500","20,300","26,300","33,300","41,300","50,600","55,700","61,200"
,P,,"2,980","2,980","2,950","2,910","2,840","2,770","2,720","2,680"
,A,,13.3,13.3,13.2,13.0,12.7,12.4,12.2,12.0
,M,,234,270,346,431,529,640,701,767
,E,,5.9,6.8,8.9,11.5,14.6,18.3,20.5,22.9
,%,,52.1,56.2,63.4,69.3,73.6,76.2,76.5,76.2
,,,,,,,,,,
318,C,"13,400","18,500","21,300","27,400","34,500","42,700","52,100","57,400","63,000"
,P,"2,780","2,790","2,790","2,760","2,720","2,650","2,580","2,540","2,500"
,A,12.4,12.5,12.5,12.4,12.2,11.9,11.5,11.4,11.2
,M,177,241,276,351,435,532,643,704,770
,E,4.8,6.7,7.7,10.0,12.7,16.1,20.2,22.6,25.3
,%,46.0,54.9,58.7,65.3,70.6,74.2,75.7,75.4,74.3
,,,,,,,,,,
274,C,"15,400","20,500","23,300","29,600","36,900","45,400","55,200","60,700","66,600"
,P,"2,460","2,460","2,460","2,420","2,380","2,310","2,240","2,210","2,170"
,A,11.0,11.0,11.0,10.9,10.7,10.4,10.1,9.9,9.8
,M,194,254,287,360,443,538,648,709,775
,E,6.3,8.3,9.5,12.2,15.6,19.6,24.6,27.5,30.7
,%,52.1,59.6,62.8,68.2,72.1,73.8,72.7,70.8,67.7
,,,,,,,,,,
236,C,"17,450","22,500","25,400","31,800","39,300","48,000","58,200","64,000","70,100"
,P,"2,200","2,190","2,170","2,140","2,080","2,020","1,960","1,925","1,895"
,A,9.9,9.8,9.8,9.6,9.4,9.1,8.8,8.7,8.6
,M,209,266,298,368,450,544,654,714,780
,E,8.0,10.3,11.7,14.9,18.9,23.8,29.8,33.2,37.0
,%,57.4,63.3,65.7,69.6,71.5,70.7,66.2,62.1,56.5
